Type,Frame,Fish1,Fish2
-2,0,-1,-1
2,0,7,3
0,81,-1,-1
-1,82,-1,-1
0,84,-1,-1
-1,84,-1,-1
0,86,-1,-1
-1,88,-1,-1
0,90,-1,-1
-1,90,-1,-1
2,91,14,8
2,93,14,4
2,94,14,8
2,96,16,4
2,97,8,13
2,100,8,16
0,107,-1,-1
-1,107,-1,-1
2,108,4,16
2,110,8,13
2,111,8,0
2,113,7,11
2,113,8,14
2,114,8,14
2,116,8,13
0,117,-1,-1
-1,117,-1,-1
2,119,8,13
0,120,-1,-1
-1,120,-1,-1
2,121,8,0
0,139,-1,-1
-1,140,-1,-1
0,142,-1,-1
-1,142,-1,-1
2,144,4,10
2,145,4,10
2,147,4,10
2,149,4,10
2,155,4,10
2,156,4,10
2,159,4,0
2,179,9,11
2,183,16,9
2,192,12,14
2,195,12,0
2,196,12,0
0,197,-1,-1
-1,197,-1,-1
2,239,11,4
2,241,11,4
2,242,11,4
2,244,9,0
2,246,9,8
2,252,10,8
2,254,10,4
2,256,10,4
2,257,10,8
0,282,-1,-1
-1,282,-1,-1
0,286,-1,-1
-1,287,-1,-1
0,289,-1,-1
-1,289,-1,-1
0,292,-1,-1
-1,292,-1,-1
2,293,9,13
0,294,-1,-1
-1,296,-1,-1
2,297,9,10
2,298,9,12
2,299,9,12
2,300,9,12
2,300,16,10
0,301,-1,-1
-1,302,-1,-1
2,303,9,12
2,304,9,4
2,305,9,12
2,306,9,12
2,306,10,16
2,307,9,12
0,308,-1,-1
-1,308,-1,-1
2,310,10,9
0,311,-1,-1
-1,313,-1,-1
2,314,9,12
2,316,9,8
2,317,4,9
2,317,5,13
2,317,9,12
0,319,-1,-1
-1,319,-1,-1
2,322,5,13
2,323,5,10
2,324,5,10
0,374,-1,-1
-1,374,-1,-1
0,389,-1,-1
-1,389,-1,-1
0,518,-1,-1
-1,518,-1,-1
0,521,-1,-1
-1,522,-1,-1
2,524,14,0
2,525,14,10
2,526,14,3
0,535,-1,-1
-1,535,-1,-1
0,537,-1,-1
-1,537,-1,-1
2,538,10,11
2,539,11,10
0,540,-1,-1
-1,545,-1,-1
2,547,8,11
2,548,8,12
2,549,8,12
2,551,13,15
0,553,-1,-1
-1,570,-1,-1
2,571,12,5
2,573,12,8
2,575,12,5
2,576,12,6
0,578,-1,-1
-1,581,-1,-1
2,582,8,9
0,583,-1,-1
-1,595,-1,-1
2,596,12,15
2,598,12,5
2,599,12,5
2,601,12,5
0,602,-1,-1
-1,602,-1,-1
2,603,12,5
0,607,-1,-1
-1,607,-1,-1
2,608,5,13
0,609,-1,-1
-1,609,-1,-1
2,610,15,5
0,611,-1,-1
-1,612,-1,-1
0,614,-1,-1
-1,622,-1,-1
2,623,13,16
0,626,-1,-1
-1,626,-1,-1
2,627,5,9
0,629,-1,-1
-1,630,-1,-1
2,631,9,8
2,632,6,9
2,635,6,15
2,637,8,10
2,639,6,10
2,642,8,10
2,642,13,8
0,643,-1,-1
-1,659,-1,-1
2,660,13,5
0,661,-1,-1
-1,661,-1,-1
2,662,13,9
0,664,-1,-1
-1,664,-1,-1
0,666,-1,-1
-1,667,-1,-1
