Type,Frame,Fish1,Fish2
-2,0,-1,-1
0,0,-1,-1
-1,3367,-1,-1
0,4387,-1,-1
-1,4398,-1,-1
2,7399,13,9
2,7679,13,11
2,7751,12,6
2,9638,5,14
1,10335,0,1
2,10417,0,3
2,11322,4,9
2,12130,11,1
0,12377,-1,-1
-1,12405,-1,-1
1,13118,9,6
2,13481,6,0
1,13646,2,4
1,13646,10,2
1,13646,4,10
1,13728,11,12
0,14635,-1,-1
-1,14663,-1,-1
2,14949,7,0
0,15312,-1,-1
-1,15330,-1,-1
2,15971,10,11
2,16589,2,10
0,17080,-1,-1
-1,17095,-1,-1
0,17133,-1,-1
-1,17153,-1,-1
0,17933,-1,-1
-1,17963,-1,-1
0,18047,-1,-1
-1,18085,-1,-1
2,18308,3,5
0,18757,-1,-1
-1,18776,-1,-1
-2,18793,-1,-1
