Type,Frame,Fish1,Fish2
-2,0,-1,-1
2,216,12,9
1,225,12,-1
2,226,11,11
0,232,-1,-1
-1,233,-1,-1
0,245,-1,-1
-1,251,-1,-1
2,274,3,13
2,277,3,9
2,278,3,9
2,280,3,9
2,282,3,9
0,291,-1,-1
-1,294,-1,-1
0,296,-1,-1
-1,297,-1,-1
1,298,5,-1
0,302,-1,-1
-1,302,-1,-1
0,304,-1,-1
-1,305,-1,-1
0,307,-1,-1
-1,307,-1,-1
2,310,7,0
2,311,7,8
0,359,-1,-1
-1,359,-1,-1
0,377,-1,-1
-1,378,-1,-1
2,382,13,8
0,385,-1,-1
-1,386,-1,-1
0,388,-1,-1
-1,406,-1,-1
0,408,-1,-1
-1,419,-1,-1
0,421,-1,-1
-1,425,-1,-1
0,432,-1,-1
-1,436,-1,-1
0,442,-1,-1
-1,442,-1,-1
0,444,-1,-1
-1,444,-1,-1
0,451,-1,-1
-1,451,-1,-1
0,454,-1,-1
-1,454,-1,-1
0,479,-1,-1
-1,479,-1,-1
0,504,-1,-1
-1,504,-1,-1
2,516,13,4
0,517,-1,-1
-1,518,-1,-1
0,532,-1,-1
-1,532,-1,-1
0,534,-1,-1
-1,539,-1,-1
0,541,-1,-1
-1,542,-1,-1
0,545,-1,-1
-1,545,-1,-1
2,681,0,8
2,762,8,10
2,921,1,6
2,922,1,6
2,923,1,6
2,928,11,6
2,931,11,6
2,932,11,6
2,933,11,6
2,934,11,6
2,1059,9,6
2,1122,4,1
0,1127,-1,-1
-1,1128,-1,-1
0,1132,-1,-1
-1,1132,-1,-1
0,1137,-1,-1
-1,1137,-1,-1
0,1379,-1,-1
-1,1379,-1,-1
2,1691,14,10
2,1692,14,10
1,1694,5,-1
2,1700,13,7
2,1722,2,14
2,1736,14,12
0,1738,-1,-1
-1,1738,-1,-1
0,1741,-1,-1
-1,1773,-1,-1
0,1775,-1,-1
-1,1775,-1,-1
0,1793,-1,-1
-1,1793,-1,-1
0,1796,-1,-1
-1,1804,-1,-1
0,1807,-1,-1
-1,1807,-1,-1
0,1813,-1,-1
-1,1813,-1,-1
2,1814,4,9
2,1820,4,3
2,1821,4,10
0,1885,-1,-1
-1,1885,-1,-1
0,2093,-1,-1
-1,2093,-1,-1
0,2095,-1,-1
-1,2096,-1,-1
1,2099,2,-1
2,3097,13,10
1,3243,3,-1
0,3253,-1,-1
-1,3253,-1,-1
2,3267,14,8
2,3304,8,3
0,3311,-1,-1
-1,3313,-1,-1
0,3320,-1,-1
-1,3320,-1,-1
2,3323,8,0
0,3493,-1,-1
-1,3493,-1,-1
2,3511,7,10
0,5846,-1,-1
-1,5846,-1,-1
0,5870,-1,-1
-1,5870,-1,-1
0,6114,-1,-1
-1,6114,-1,-1
2,7403,6,1
2,7433,6,4
0,7575,-1,-1
-1,7575,-1,-1
0,7689,-1,-1
-1,7689,-1,-1
0,7734,-1,-1
-1,7735,-1,-1
2,7750,4,7
2,7751,4,7
0,7889,-1,-1
-1,7889,-1,-1
2,8113,12,3
2,9326,4,9
0,9328,-1,-1
-1,9328,-1,-1
2,9637,5,12
2,9638,5,12
0,10751,-1,-1
-1,10751,-1,-1
2,10945,7,6
0,11546,-1,-1
-1,11547,-1,-1
2,11571,3,10
2,11624,2,6
2,11625,2,6
2,11669,8,5
0,11698,-1,-1
-1,11698,-1,-1
1,11715,12,-1
1,11756,11,-1
2,12131,13,11
2,12133,13,11
0,12202,-1,-1
-1,12202,-1,-1
0,12267,-1,-1
-1,12267,-1,-1
0,12315,-1,-1
-1,12315,-1,-1
2,12318,6,0
0,12383,-1,-1
-1,12389,-1,-1
0,12396,-1,-1
-1,12396,-1,-1
0,12399,-1,-1
-1,12399,-1,-1
2,12400,9,3
2,12402,5,14
2,12402,9,8
1,12700,14,-1
2,13083,10,2
0,13302,-1,-1
-1,13302,-1,-1
0,13474,-1,-1
-1,13475,-1,-1
2,13481,3,13
2,13526,1,2
2,13528,1,7
2,13529,1,7
2,13530,1,4
2,13534,1,4
2,13535,1,7
2,13538,1,7
1,13875,1,-1
0,14124,-1,-1
-1,14124,-1,-1
2,15267,2,14
2,15275,12,14
2,15330,9,5
0,15603,-1,-1
-1,15604,-1,-1
0,15849,-1,-1
-1,15849,-1,-1
2,15971,12,13
0,16759,-1,-1
-1,16760,-1,-1
0,16762,-1,-1
-1,16765,-1,-1
0,16767,-1,-1
-1,16767,-1,-1
0,16769,-1,-1
-1,16769,-1,-1
2,17076,8,9
2,17082,7,1
0,17085,-1,-1
-1,17089,-1,-1
2,17135,7,8
0,17146,-1,-1
-1,17146,-1,-1
0,17460,-1,-1
-1,17460,-1,-1
2,17593,11,14
0,17641,-1,-1
-1,17641,-1,-1
0,17934,-1,-1
-1,17935,-1,-1
0,17937,-1,-1
-1,17938,-1,-1
0,17940,-1,-1
-1,17943,-1,-1
0,17946,-1,-1
-1,17946,-1,-1
0,17958,-1,-1
-1,17958,-1,-1
2,17959,8,7
0,18053,-1,-1
-1,18059,-1,-1
0,18061,-1,-1
-1,18066,-1,-1
2,18308,2,6
2,18613,6,11
0,18699,-1,-1
-1,18699,-1,-1
0,18775,-1,-1
-1,18775,-1,-1
-2,18793,-1,-1
