Type,Frame,Fish1,Fish2
2,216,12,9
2,226,11,11
2,274,3,13
2,277,3,9
2,278,3,9
2,280,3,9
2,282,3,9
2,310,7,0
2,311,7,8
2,382,13,8
2,516,13,4
2,681,0,8
2,762,8,10
2,921,1,6
2,922,1,6
2,923,1,6
2,928,11,6
2,931,11,6
2,932,11,6
2,933,11,6
2,934,11,6
2,1059,9,6
2,1122,4,1
2,1691,14,10
2,1692,14,10
2,1700,13,7
2,1722,2,14
2,1736,14,12
2,1814,4,9
2,1820,4,3
2,1821,4,10
2,3097,13,10
2,3267,14,8
2,3304,8,3
2,3323,8,0
2,3511,7,10
2,7403,6,1
2,7433,6,4
2,7750,4,7
2,7751,4,7
2,8113,12,3
2,9326,4,9
2,9637,5,12
2,9638,5,12
2,10945,7,6
2,11571,3,10
2,11624,2,6
2,11625,2,6
2,11669,8,5
2,12131,13,11
2,12133,13,11
2,12318,6,0
2,12400,9,3
2,12402,5,14
2,12402,9,8
2,13083,10,2
2,13481,3,13
2,13526,1,2
2,13528,1,7
2,13529,1,7
2,13530,1,4
2,13534,1,4
2,13535,1,7
2,13538,1,7
2,15267,2,14
2,15275,12,14
2,15330,9,5
2,15971,12,13
2,17076,8,9
2,17082,7,1
2,17135,7,8
2,17593,11,14
2,17959,8,7
2,18308,2,6
2,18613,6,11
