Type,Frame,Fish1,Fish2
-2,0,-1,-1
1,225,12,-1
0,232,-1,-1
-1,233,-1,-1
0,245,-1,-1
-1,251,-1,-1
0,291,-1,-1
-1,294,-1,-1
0,296,-1,-1
-1,297,-1,-1
1,298,5,-1
0,302,-1,-1
-1,302,-1,-1
0,304,-1,-1
-1,305,-1,-1
0,307,-1,-1
-1,307,-1,-1
0,359,-1,-1
-1,359,-1,-1
0,377,-1,-1
-1,378,-1,-1
0,385,-1,-1
-1,386,-1,-1
0,388,-1,-1
-1,406,-1,-1
0,408,-1,-1
-1,419,-1,-1
0,421,-1,-1
-1,425,-1,-1
0,432,-1,-1
-1,436,-1,-1
0,442,-1,-1
-1,442,-1,-1
0,444,-1,-1
-1,444,-1,-1
0,451,-1,-1
-1,451,-1,-1
0,454,-1,-1
-1,454,-1,-1
0,479,-1,-1
-1,479,-1,-1
0,504,-1,-1
-1,504,-1,-1
0,517,-1,-1
-1,518,-1,-1
0,532,-1,-1
-1,532,-1,-1
0,534,-1,-1
-1,539,-1,-1
0,541,-1,-1
-1,542,-1,-1
0,545,-1,-1
-1,545,-1,-1
0,1127,-1,-1
-1,1128,-1,-1
0,1132,-1,-1
-1,1132,-1,-1
0,1137,-1,-1
-1,1137,-1,-1
0,1379,-1,-1
-1,1379,-1,-1
1,1694,5,-1
0,1738,-1,-1
-1,1738,-1,-1
0,1741,-1,-1
-1,1773,-1,-1
0,1775,-1,-1
-1,1775,-1,-1
0,1793,-1,-1
-1,1793,-1,-1
0,1796,-1,-1
-1,1804,-1,-1
0,1807,-1,-1
-1,1807,-1,-1
0,1813,-1,-1
-1,1813,-1,-1
0,1885,-1,-1
-1,1885,-1,-1
0,2093,-1,-1
-1,2093,-1,-1
0,2095,-1,-1
-1,2096,-1,-1
1,2099,2,-1
1,3243,3,-1
0,3253,-1,-1
-1,3253,-1,-1
0,3311,-1,-1
-1,3313,-1,-1
0,3320,-1,-1
-1,3320,-1,-1
0,3493,-1,-1
-1,3493,-1,-1
0,5846,-1,-1
-1,5846,-1,-1
0,5870,-1,-1
-1,5870,-1,-1
0,6114,-1,-1
-1,6114,-1,-1
0,7575,-1,-1
-1,7575,-1,-1
0,7689,-1,-1
-1,7689,-1,-1
0,7734,-1,-1
-1,7735,-1,-1
0,7889,-1,-1
-1,7889,-1,-1
0,9328,-1,-1
-1,9328,-1,-1
0,10751,-1,-1
-1,10751,-1,-1
0,11546,-1,-1
-1,11547,-1,-1
0,11698,-1,-1
-1,11698,-1,-1
1,11715,12,-1
1,11756,11,-1
0,12202,-1,-1
-1,12202,-1,-1
0,12267,-1,-1
-1,12267,-1,-1
0,12315,-1,-1
-1,12315,-1,-1
0,12383,-1,-1
-1,12389,-1,-1
0,12396,-1,-1
-1,12396,-1,-1
0,12399,-1,-1
-1,12399,-1,-1
1,12700,14,-1
0,13302,-1,-1
-1,13302,-1,-1
0,13474,-1,-1
-1,13475,-1,-1
1,13875,1,-1
0,14124,-1,-1
-1,14124,-1,-1
0,15603,-1,-1
-1,15604,-1,-1
0,15849,-1,-1
-1,15849,-1,-1
0,16759,-1,-1
-1,16760,-1,-1
0,16762,-1,-1
-1,16765,-1,-1
0,16767,-1,-1
-1,16767,-1,-1
0,16769,-1,-1
-1,16769,-1,-1
0,17085,-1,-1
-1,17089,-1,-1
0,17146,-1,-1
-1,17146,-1,-1
0,17460,-1,-1
-1,17460,-1,-1
0,17641,-1,-1
-1,17641,-1,-1
0,17934,-1,-1
-1,17935,-1,-1
0,17937,-1,-1
-1,17938,-1,-1
0,17940,-1,-1
-1,17943,-1,-1
0,17946,-1,-1
-1,17946,-1,-1
0,17958,-1,-1
-1,17958,-1,-1
0,18053,-1,-1
-1,18059,-1,-1
0,18061,-1,-1
-1,18066,-1,-1
0,18699,-1,-1
-1,18699,-1,-1
0,18775,-1,-1
-1,18775,-1,-1
-2,18793,-1,-1
