Type,Frame,Fish1,Fish2
2,94,11,6
2,223,2,8
2,228,11,14
2,276,3,13
2,284,9,0
2,474,3,1
2,573,14,5
2,753,8,3
2,927,11,7
2,930,11,12
2,1027,6,14
2,1118,8,11
2,1691,2,12
2,1692,5,10
2,1693,14,11
2,1735,14,10
2,1785,2,0
2,1815,3,11
2,1950,1,0
2,3103,13,12
2,3496,0,9
2,7400,8,1
2,8112,12,3
2,9107,10,7
2,9636,5,12
2,10420,13,0
2,11567,3,6
2,12398,9,1
2,12401,5,1
2,12403,9,1
2,13533,1,5
2,14946,2,10
2,15329,9,13
2,17080,7,13
2,17954,14,4
2,18213,12,2
2,18612,6,0
2,18757,6,2
