Type,Frame,Fish1,Fish2
2,216,12,9
2,221,2,9
2,223,2,8
2,228,11,14
2,303,10,11
2,311,7,11
2,382,2,11
2,474,1,10
2,544,6,4
2,552,5,0
2,573,14,3
2,753,5,1
2,762,2,0
2,922,4,6
2,923,4,6
2,928,8,6
2,929,8,6
2,930,8,6
2,931,8,6
2,932,8,6
2,933,8,6
2,934,8,6
2,1059,13,6
2,1122,2,4
2,1373,4,2
2,1691,13,0
2,1692,13,0
2,1700,3,10
2,1722,9,7
2,1735,7,2
2,1740,8,11
2,1780,10,7
2,1797,4,11
2,1814,14,11
2,1818,14,11
2,1821,6,5
2,3096,2,5
2,3098,2,6
2,3103,2,6
2,3320,13,14
2,3323,13,14
2,3325,1,9
2,7433,13,6
2,7749,12,0
2,7750,12,0
2,7751,12,0
2,8111,6,10
2,8112,6,10
2,9107,5,6
2,9636,4,7
2,9637,4,13
2,9638,4,13
2,10420,2,0
2,10945,1,13
2,11571,10,4
2,11624,6,11
2,11625,6,11
2,12386,10,8
2,12399,7,8
2,12401,6,0
2,12402,6,8
2,12403,7,8
2,12405,7,8
2,13083,4,7
2,13316,10,7
2,13477,11,10
2,13526,8,7
2,13527,8,1
2,13528,8,1
2,13529,8,1
2,13533,8,10
2,13534,8,12
2,13535,8,1
2,13538,8,1
2,14946,7,11
2,15329,13,2
2,15970,5,12
2,15971,5,0
2,17076,7,13
2,17082,1,8
2,17135,1,7
2,17593,0,3
2,17946,5,4
2,17959,7,13
2,18308,3,4
2,18775,3,13
