Type,Frame,Fish1,Fish2
2,94,11,6
2,220,2,14
2,226,11,11
2,267,0,3
2,310,7,0
2,392,1,9
2,538,6,10
2,551,5,10
2,572,14,8
2,681,12,5
2,760,2,13
2,927,8,5
2,1027,6,14
2,1118,2,8
2,1272,11,6
2,1691,9,2
2,1692,7,0
2,1693,13,14
2,1734,7,1
2,1736,7,2
2,1785,3,13
2,1799,4,3
2,1815,14,7
2,1819,14,7
2,1950,8,12
2,3097,2,6
2,3102,2,1
2,3267,3,4
2,7403,10,8
2,9106,5,2
2,9326,4,7
2,10419,2,1
2,10943,1,13
2,11567,10,11
2,11669,9,10
2,12398,7,8
2,12400,7,8
2,12401,7,8
2,12402,7,8
2,12404,7,8
2,13116,9,13
2,13476,11,4
2,13481,6,9
2,13530,8,14
2,14775,2,12
2,15267,7,3
2,15330,13,10
2,17080,1,2
2,17137,1,0
2,17934,14,4
2,17954,9,12
2,17963,9,12
2,18757,4,3
