Type,Frame,Fish1,Fish2
2,596,14,9
2,812,11,0
2,1005,5,14
2,1008,1,8
2,1012,1,5
2,1015,1,8
2,1023,7,6
2,1050,2,1
2,1062,12,13
2,1071,1,14
2,1076,0,3
2,1080,4,3
2,1081,10,3
2,1085,11,6
2,1088,4,2
2,1094,11,8
2,1099,11,8
2,1106,13,8
2,1124,13,11
2,1126,13,1
2,1133,7,6
2,1142,9,7
2,1145,2,14
2,1149,2,11
2,1182,12,6
2,1187,7,12
2,1190,7,12
2,1218,11,1
2,1408,1,11
2,1412,4,3
2,1458,0,5
2,1463,6,12
2,1472,7,0
2,1561,8,11
2,1586,2,6
2,1613,1,8
2,1712,1,3
2,1739,8,4
2,1753,8,12
2,1762,10,11
2,1801,3,14
2,1803,3,14
2,1806,3,14
2,1809,3,14
2,1813,3,11
2,1830,4,8
2,1878,11,8
2,1889,5,12
2,1895,4,10
2,1896,4,0
2,1912,10,4
2,1916,10,4
2,1918,10,4
2,1953,3,2
2,2000,4,10
2,2010,5,12
2,2014,9,7
2,2096,13,6
2,2105,11,6
2,2304,4,13
2,2335,2,11
2,2341,5,12
2,2344,5,1
2,2345,5,4
2,2346,5,1
2,2352,1,8
2,2459,1,10
2,2462,1,10
2,2465,1,14
2,2502,1,4
2,2539,11,12
2,2546,11,5
2,2549,11,2
2,2554,11,5
2,2671,6,7
2,2886,14,6
2,3318,13,11
2,3339,8,5
2,3399,2,9
2,3402,2,6
2,3427,10,1
2,3429,10,9
2,3431,10,6
2,3435,14,6
2,3437,2,14
2,3439,6,1
2,3449,8,11
2,3456,6,2
2,3459,6,12
2,3462,6,1
2,3464,6,12
2,3468,6,1
2,3471,6,12
2,3483,2,10
2,3491,3,0
2,3595,5,6
2,3599,8,3
2,3603,8,7
2,3835,6,1
2,3968,2,5
2,3999,3,12
2,4001,3,5
2,4031,3,1
2,4041,4,9
2,4043,4,9
2,4046,12,14
2,4063,1,12
2,4065,1,6
2,4075,3,11
2,4140,0,11
2,4192,3,5
2,4209,3,14
2,4213,3,8
2,4216,3,5
2,4222,3,5
2,4223,8,3
2,4224,8,0
2,4488,9,12
2,4706,5,11
2,4741,0,1
2,4750,14,10
2,4760,12,13
2,4777,10,0
2,4780,10,11
2,4804,10,4
2,4806,14,13
2,4810,7,4
2,4813,7,14
2,6227,14,9
2,6230,12,9
2,7016,6,10
2,7023,12,13
2,7029,8,0
2,7030,2,8
2,7031,2,8
2,7032,2,8
2,7038,4,13
2,7041,4,6
2,7043,4,13
2,7046,11,6
2,7054,11,1
2,7058,4,10
2,7060,4,13
2,7068,11,8
2,7084,2,12
2,7087,2,12
2,7099,1,5
2,7104,1,0
2,7127,4,11
2,7174,6,10
2,7329,14,4
2,7407,0,7
2,7449,4,14
2,7466,13,10
2,7532,4,2
2,7586,10,2
2,7588,10,2
2,7591,10,12
2,7599,10,12
2,7601,10,2
2,7631,0,10
2,7647,7,3
2,7669,13,12
2,7678,13,14
2,7685,10,8
2,7688,10,8
2,7695,2,4
2,7700,2,4
2,7703,2,4
2,7718,10,1
2,7727,10,5
2,7729,10,1
2,8106,8,5
2,8108,8,13
2,8660,12,10
2,8937,13,14
2,8939,13,14
2,8998,7,3
2,9016,7,3
2,9039,8,10
2,9050,10,7
2,9219,5,11
2,9233,1,13
2,9234,10,2
2,9236,11,13
2,9240,11,12
2,9888,6,9
2,9903,11,12
2,9985,10,1
2,9987,10,12
2,9991,5,12
2,10953,14,2
2,10955,14,2
2,10976,14,10
2,11224,1,5
2,11226,1,5
2,11228,1,4
2,11496,11,1
2,11497,11,4
2,11498,11,7
2,11499,11,1
2,11501,2,12
2,11502,2,12
2,11503,11,1
2,11504,11,3
2,11505,11,3
2,11506,11,3
2,11507,11,3
2,11508,11,3
2,11510,11,3
2,11512,11,3
2,11514,11,3
2,12227,3,5
2,12236,3,4
2,12240,3,4
2,12283,3,11
2,12306,8,6
2,12311,10,3
2,12360,13,2
2,12385,11,5
2,12396,14,5
2,12468,1,7
2,12474,11,6
2,12548,10,6
2,12572,6,10
2,12574,14,5
2,12580,4,1
2,12583,11,9
2,13627,8,4
2,13629,8,4
2,13922,7,8
2,14916,13,7
2,14923,1,7
2,14925,1,7
2,15205,6,14
2,15350,9,4
2,15550,7,6
2,15625,3,7
2,15631,5,4
2,15705,2,9
2,15787,7,14
2,15814,7,1
2,15953,12,5
2,16634,6,9
2,16648,2,10
2,16663,8,5
2,16664,6,2
2,16666,5,11
2,16667,5,11
2,16668,5,6
2,16670,5,8
2,16677,5,6
2,16696,8,3
2,16698,8,5
2,16700,8,5
2,16703,8,3
2,16805,3,7
2,16808,3,7
2,18014,6,9
2,18572,3,9
2,18574,3,9
2,18575,3,12
2,18579,5,6
2,18582,12,2
2,18588,5,8
2,18595,3,6
2,18599,14,9
2,18600,14,11
2,18602,7,11
2,18625,12,5
2,18628,12,7
2,18632,12,7
2,18635,14,3
2,18639,14,10
2,18644,10,14
2,18646,10,12
2,18648,10,12
2,18682,5,13
2,18685,5,2
2,18690,14,13
2,18705,14,6
2,18717,5,6
2,18719,5,14
2,18721,5,14
2,18723,5,14
2,18726,5,14
2,18729,3,2
2,18735,5,3
2,18738,5,6
2,18741,5,3
