Type,Frame,Fish1,Fish2
-2,0,-1,-1
0,6,-1,-1
-1,7,-1,-1
0,14,-1,-1
-1,14,-1,-1
0,24,-1,-1
-1,24,-1,-1
0,26,-1,-1
-1,26,-1,-1
0,37,-1,-1
-1,39,-1,-1
1,41,0,-1
0,52,-1,-1
-1,52,-1,-1
0,59,-1,-1
-1,60,-1,-1
0,62,-1,-1
-1,63,-1,-1
0,66,-1,-1
-1,68,-1,-1
0,70,-1,-1
-1,70,-1,-1
0,72,-1,-1
-1,72,-1,-1
0,74,-1,-1
-1,76,-1,-1
0,78,-1,-1
-1,78,-1,-1
0,83,-1,-1
-1,83,-1,-1
0,85,-1,-1
-1,86,-1,-1
0,88,-1,-1
-1,93,-1,-1
0,95,-1,-1
-1,99,-1,-1
0,102,-1,-1
-1,102,-1,-1
0,104,-1,-1
-1,104,-1,-1
0,106,-1,-1
-1,106,-1,-1
0,110,-1,-1
-1,110,-1,-1
0,114,-1,-1
-1,114,-1,-1
0,119,-1,-1
-1,119,-1,-1
0,123,-1,-1
-1,124,-1,-1
0,129,-1,-1
-1,132,-1,-1
0,134,-1,-1
-1,143,-1,-1
0,149,-1,-1
-1,149,-1,-1
0,162,-1,-1
-1,166,-1,-1
0,168,-1,-1
-1,168,-1,-1
0,170,-1,-1
-1,174,-1,-1
0,177,-1,-1
-1,177,-1,-1
0,233,-1,-1
-1,233,-1,-1
0,235,-1,-1
-1,245,-1,-1
0,254,-1,-1
-1,254,-1,-1
0,275,-1,-1
-1,275,-1,-1
0,281,-1,-1
-1,282,-1,-1
0,284,-1,-1
-1,284,-1,-1
0,291,-1,-1
-1,291,-1,-1
0,325,-1,-1
-1,325,-1,-1
0,328,-1,-1
-1,338,-1,-1
0,349,-1,-1
-1,352,-1,-1
0,354,-1,-1
-1,354,-1,-1
0,379,-1,-1
-1,382,-1,-1
0,384,-1,-1
-1,384,-1,-1
0,386,-1,-1
-1,386,-1,-1
0,399,-1,-1
-1,399,-1,-1
0,473,-1,-1
-1,473,-1,-1
0,476,-1,-1
-1,476,-1,-1
0,646,-1,-1
-1,646,-1,-1
0,656,-1,-1
-1,656,-1,-1
0,658,-1,-1
-1,658,-1,-1
0,661,-1,-1
-1,662,-1,-1
0,665,-1,-1
-1,665,-1,-1
0,667,-1,-1
-1,669,-1,-1
0,672,-1,-1
-1,673,-1,-1
0,675,-1,-1
-1,676,-1,-1
0,678,-1,-1
-1,679,-1,-1
0,682,-1,-1
-1,686,-1,-1
0,688,-1,-1
-1,688,-1,-1
0,693,-1,-1
-1,697,-1,-1
0,702,-1,-1
-1,703,-1,-1
0,709,-1,-1
-1,709,-1,-1
0,711,-1,-1
-1,711,-1,-1
0,713,-1,-1
-1,715,-1,-1
0,717,-1,-1
-1,719,-1,-1
0,721,-1,-1
-1,721,-1,-1
0,724,-1,-1
-1,724,-1,-1
0,726,-1,-1
-1,732,-1,-1
0,737,-1,-1
-1,737,-1,-1
0,739,-1,-1
-1,743,-1,-1
0,745,-1,-1
-1,763,-1,-1
0,769,-1,-1
-1,769,-1,-1
0,771,-1,-1
-1,784,-1,-1
0,786,-1,-1
-1,788,-1,-1
0,791,-1,-1
-1,792,-1,-1
0,794,-1,-1
-1,811,-1,-1
0,816,-1,-1
-1,826,-1,-1
0,832,-1,-1
-1,832,-1,-1
0,835,-1,-1
-1,835,-1,-1
0,838,-1,-1
-1,838,-1,-1
1,853,3,-1
0,855,-1,-1
-1,855,-1,-1
0,922,-1,-1
-1,922,-1,-1
0,980,-1,-1
-1,980,-1,-1
0,985,-1,-1
-1,985,-1,-1
0,1041,-1,-1
-1,1041,-1,-1
0,1162,-1,-1
-1,1165,-1,-1
0,1176,-1,-1
-1,1189,-1,-1
0,1191,-1,-1
-1,1191,-1,-1
0,1193,-1,-1
-1,1198,-1,-1
0,1200,-1,-1
-1,1209,-1,-1
0,1222,-1,-1
-1,1222,-1,-1
0,1242,-1,-1
-1,1242,-1,-1
0,1247,-1,-1
-1,1249,-1,-1
0,1251,-1,-1
-1,1252,-1,-1
0,1256,-1,-1
-1,1257,-1,-1
0,1260,-1,-1
-1,1261,-1,-1
0,1265,-1,-1
-1,1265,-1,-1
0,1269,-1,-1
-1,1269,-1,-1
0,1277,-1,-1
-1,1281,-1,-1
0,1283,-1,-1
-1,1285,-1,-1
0,1287,-1,-1
-1,1289,-1,-1
0,1292,-1,-1
-1,1321,-1,-1
0,1325,-1,-1
-1,1325,-1,-1
0,1329,-1,-1
-1,1332,-1,-1
0,1334,-1,-1
-1,1334,-1,-1
0,1336,-1,-1
-1,1337,-1,-1
0,1339,-1,-1
-1,1343,-1,-1
0,1348,-1,-1
-1,1349,-1,-1
0,1358,-1,-1
-1,1358,-1,-1
0,1360,-1,-1
-1,1361,-1,-1
0,1366,-1,-1
-1,1366,-1,-1
0,1372,-1,-1
-1,1373,-1,-1
0,1375,-1,-1
-1,1375,-1,-1
0,1377,-1,-1
-1,1377,-1,-1
0,1379,-1,-1
-1,1379,-1,-1
0,1381,-1,-1
-1,1381,-1,-1
0,1383,-1,-1
-1,1399,-1,-1
0,1409,-1,-1
-1,1409,-1,-1
0,1411,-1,-1
-1,1411,-1,-1
0,1416,-1,-1
-1,1416,-1,-1
0,1426,-1,-1
-1,1426,-1,-1
0,1428,-1,-1
-1,1428,-1,-1
0,1445,-1,-1
-1,1445,-1,-1
0,1447,-1,-1
-1,1450,-1,-1
0,1452,-1,-1
-1,1462,-1,-1
0,1464,-1,-1
-1,1472,-1,-1
0,1490,-1,-1
-1,1490,-1,-1
0,1495,-1,-1
-1,1496,-1,-1
0,1501,-1,-1
-1,1501,-1,-1
0,1506,-1,-1
-1,1508,-1,-1
0,1547,-1,-1
-1,1547,-1,-1
