Type,Frame,Fish1,Fish2
2,166,8,4
2,249,8,13
2,251,8,13
2,254,3,7
2,317,8,0
2,318,8,0
2,360,6,0
2,362,6,0
2,365,6,1
2,802,5,0
2,803,5,0
2,804,5,0
2,805,5,0
2,806,5,0
2,807,5,0
2,808,5,0
2,809,5,0
2,810,5,0
2,811,5,0
2,1170,2,10
2,1172,13,10
2,1173,13,0
2,1174,12,8
2,1176,12,8
2,1200,12,2
2,1650,8,3
2,2242,11,10
2,2252,11,12
2,2254,11,12
2,2258,6,14
2,2280,12,4
2,3275,7,9
2,3303,0,7
2,3317,5,11
2,3388,5,11
2,3389,5,11
2,3522,10,2
2,3524,10,5
2,3526,10,2
2,3645,7,4
2,3650,7,14
2,3651,7,8
2,3652,7,8
2,3653,7,8
2,3658,7,12
2,3660,1,0
2,3661,1,8
2,3676,7,12
2,3678,7,12
2,3680,7,12
2,3683,7,14
2,4150,5,11
2,4338,8,6
2,4349,5,1
2,4351,5,6
2,4352,5,6
2,4353,5,6
2,4404,10,11
2,4982,3,1
2,5157,14,2
2,5517,3,12
2,5521,7,9
2,6180,7,1
2,6485,0,5
2,6486,0,2
2,6487,0,2
2,6938,12,11
2,6941,12,11
2,6943,12,11
2,6945,12,1
2,6947,12,1
2,6948,12,11
2,6950,12,11
2,6951,12,1
2,6954,12,11
2,6957,12,11
2,6958,12,2
2,7504,7,2
2,7620,12,11
2,8378,10,2
2,8379,10,5
2,8380,10,5
2,8387,10,2
2,8880,9,13
2,8908,3,14
2,8910,3,4
2,8912,3,4
2,8914,3,4
2,8916,3,4
2,8918,3,14
2,8919,3,14
2,8920,3,14
2,8921,3,14
2,8935,11,2
2,8938,11,2
2,8940,11,5
2,8942,11,5
2,8944,11,5
2,8947,3,0
2,8948,3,0
2,8950,3,0
2,8951,3,0
2,8952,3,0
2,9727,13,1
2,9728,13,1
2,9812,14,2
2,9857,9,2
2,9859,9,3
2,9997,14,11
2,10001,0,9
2,10054,0,6
2,10061,0,14
2,10075,0,14
2,10102,9,4
2,10106,9,10
2,10107,9,2
2,10108,9,4
2,10112,9,10
2,10115,9,5
2,10120,9,10
2,10411,8,14
2,10412,8,14
2,10418,10,2
2,10430,10,13
2,10463,8,2
2,10465,8,7
2,10489,14,2
2,10490,14,2
2,10491,14,2
2,10492,14,2
2,10493,14,2
2,10495,14,1
2,10498,14,2
2,10499,14,2
2,10500,14,4
2,10501,14,4
2,10502,14,4
2,10503,14,4
2,10504,14,4
2,10587,1,5
2,10592,1,10
2,10602,1,2
2,10606,1,8
2,10609,1,3
2,10611,1,10
2,10613,11,3
2,10650,7,1
2,10651,7,1
2,10652,7,1
2,10655,10,8
2,10659,10,11
2,10662,6,11
2,10684,3,4
2,10694,3,4
2,10697,3,9
2,10714,3,4
2,10718,3,7
2,10720,3,7
2,10735,3,5
2,10735,6,5
2,10738,6,5
2,10743,3,5
2,10872,5,3
2,12694,1,2
2,12696,1,2
2,12796,12,2
2,12887,8,2
2,12890,8,0
2,12892,8,0
2,12895,3,2
2,12976,1,4
2,12978,1,0
2,13287,0,4
2,13290,0,5
2,14031,11,6
2,14050,11,3
2,14693,2,14
2,14695,2,0
2,14697,0,2
2,14698,0,2
2,14699,0,2
2,14700,0,2
2,14701,0,1
2,14702,0,1
2,14703,0,1
2,14707,0,1
2,14708,0,1
2,14709,0,1
2,14711,0,3
2,14712,0,3
2,15053,8,5
2,15829,14,5
2,15837,12,5
2,16419,5,14
2,16755,11,10
2,16756,11,10
2,16765,11,10
2,16766,11,10
2,17721,5,1
2,17722,5,1
2,17736,7,14
2,17739,7,13
2,17741,7,13
2,17743,7,13
2,17745,7,13
2,17761,2,3
2,17798,0,5
2,17815,10,0
2,17817,7,0
2,17818,7,0
2,17932,6,5
2,17933,6,12
2,18073,0,5
2,18075,0,7
2,18076,0,7
2,18079,5,7
2,18229,1,13
2,18231,12,7
2,18236,5,3
2,18314,7,5
2,18710,3,8
2,18802,9,8
2,18930,14,13
2,18931,14,7
