Type,Frame,Fish1,Fish2
-1,0,-1,-1
1,434,1,-1
1,436,10,-1
2,440,0,2
2,444,0,2
2,473,0,1
2,473,0,7
2,475,0,13
2,476,0,15
2,477,0,13
2,478,0,15
1,480,2,-1
2,480,0,13
1,481,3,-1
2,499,0,13
2,510,0,13
2,511,0,1
2,512,0,1
2,516,0,1
2,533,0,10
2,534,0,1
2,538,0,10
2,542,0,10
2,544,0,10
2,546,0,10
2,547,0,1
2,548,0,1
2,549,0,1
2,550,0,1
2,551,0,1
2,2050,0,9
1,2056,3,-1
2,2599,0,4
2,2602,0,15
2,2606,0,7
2,2607,0,15
2,2608,0,15
2,2956,0,2
2,2959,0,9
2,2960,0,1
1,8169,12,-1
1,15139,7,-1
1,15139,11,-1
1,15140,7,-1
1,17045,11,-1
2,17153,0,9
2,17180,0,8
2,17182,0,8
2,17183,0,8
1,18035,9,-1
1,18036,9,-1
-1,18072,-1,-1
