Type,Frame,Fish1,Fish2
-1,216,0,10
-1,218,0,10
-1,1039,0,15
-1,1066,0,11
-1,1141,0,2
-1,1489,0,13
-1,1492,0,13
-1,1504,0,11
-1,1505,0,11
-1,1508,0,11
-1,1511,0,13
-1,1542,0,13
-1,1553,0,3
-1,1562,0,3
-1,1564,0,1
-1,1566,0,11
-1,1569,0,13
-1,1578,0,13
-1,1590,0,1
-1,1638,0,2
-1,1647,0,1
-1,1651,0,13
-1,1657,0,13
-1,1657,0,4
-1,1662,0,13
-1,1663,0,13
-1,1664,0,13
-1,1665,0,0
-1,1706,0,4
-1,1708,0,4
-1,1726,0,2
-1,1822,0,1
-1,1824,0,3
-1,1826,0,12
-1,1832,0,3
-1,1835,0,3
-1,1995,0,1
-1,2031,0,3
-1,2039,0,2
-1,2041,0,2
-1,2065,0,7
-1,2077,0,0
-1,2083,0,5
-1,2099,0,7
-1,2123,0,10
-1,2139,0,0
-1,2153,0,3
-1,2203,0,15
-1,2209,0,15
-1,2220,0,15
-1,2311,0,2
-1,2324,0,15
-1,2507,0,10
-1,2536,0,11
-1,2542,0,0
-1,2545,0,0
-1,2548,0,0
-1,2550,0,11
-1,2586,0,13
-1,2588,0,1
-1,2590,0,15
-1,2620,0,1
-1,2621,0,2
-1,2622,0,2
-1,2623,0,15
-1,2645,0,11
-1,2646,0,10
-1,2648,0,7
-1,2650,0,7
-1,2889,0,1
-1,2919,0,11
-1,3038,0,8
-1,3378,0,11
-1,3379,0,9
-1,3440,0,4
-1,3441,0,4
-1,3464,0,15
-1,3466,0,2
-1,3466,0,2
-1,3496,0,1
-1,4306,0,2
-1,5037,0,0
-1,5039,0,0
-1,5045,0,7
-1,5046,0,7
-1,5047,0,7
-1,6099,0,7
-1,6120,0,7
-1,6128,0,7
-1,6976,0,8
-1,7983,0,10
-1,9943,0,9
-1,9944,0,9
-1,11552,0,9
-1,15379,0,12
-1,15749,0,1
-1,15826,0,13
-1,15844,0,15
-1,15869,0,13
-1,15870,0,13
-1,15873,0,1
-1,15876,0,13
-1,15878,0,15
-1,15879,0,15
-1,16147,0,15
-1,17653,0,6
-1,17653,0,2
-1,17657,0,6
-1,17658,0,15
-1,17723,0,2
-1,17729,0,2
-1,17743,0,2
