Type,Frame,Fish1,Fish2
2,5003,0,5
2,5005,0,5
2,17653,0,0
2,17742,0,15
2,17743,0,15
2,3531,0,2
2,3533,0,1
2,3798,0,13
2,1605,0,2
2,1606,0,1
2,1607,0,0
2,1609,0,2
2,2075,0,2
2,2203,0,1
2,2209,0,1
2,2582,0,2
2,17653,0,0
2,1706,0,2
2,1707,0,14
2,1708,0,14
2,2031,0,2
2,2035,0,2
2,2039,0,2
2,2507,0,1
2,2541,0,2
2,2547,0,1
2,2548,0,1
2,2550,0,1
2,2583,0,1
2,2613,0,1
2,2615,0,6
2,2616,0,6
2,2617,0,1
2,2618,0,1
2,2620,0,1
2,2621,0,1
2,2622,0,1
2,2623,0,1
2,2917,0,2
2,2918,0,1
2,2919,0,1
2,1486,0,1
2,1488,0,1
2,1489,0,14
2,1661,0,1
2,1663,0,14
2,1664,0,1
2,2077,0,2
2,2078,0,4
2,2081,0,2
2,2082,0,1
2,2083,0,1
2,2095,0,3
2,2138,0,2
2,2140,0,2
2,2589,0,9
2,2867,0,2
2,2888,0,2
2,2889,0,1
2,3438,0,2
2,3439,0,1
2,3440,0,1
2,3441,0,12
2,9377,0,2
2,9943,0,2
2,9944,0,2
2,11552,0,8
2,14596,0,6
2,14597,0,0
2,14598,0,0
2,18000,0,3
2,18001,0,14
2,1066,0,3
2,1545,0,1
2,1655,0,1
2,1657,0,3
2,2019,0,1
2,3438,0,10
2,3439,0,10
2,3440,0,10
2,15870,0,15
2,1502,0,1
2,1639,0,3
2,1658,0,1
2,1659,0,1
2,1660,0,14
2,1661,0,4
2,1662,0,1
2,1663,0,12
2,1664,0,4
2,1995,0,1
2,2015,0,1
2,2074,0,1
2,2145,0,2
2,2588,0,2
2,2641,0,15
2,2645,0,2
2,2646,0,1
2,9376,0,4
2,9377,0,13
2,9378,0,13
2,9379,0,4
2,17656,0,1
2,17728,0,15
2,17729,0,12
2,1038,0,3
2,1039,0,1
2,2920,0,1
2,2926,0,2
2,3037,0,6
2,3038,0,5
2,6976,0,2
2,15749,0,8
2,15824,0,15
2,15825,0,8
2,15826,0,8
2,15843,0,15
2,15844,0,8
2,15871,0,3
2,15872,0,3
2,15873,0,3
2,17657,0,1
2,17658,0,1
2,1115,0,2
2,2142,0,2
2,2143,0,12
2,2199,0,3
2,2201,0,5
2,2204,0,1
2,2205,0,1
2,3463,0,12
2,3464,0,4
2,3465,0,4
2,3466,0,4
2,5355,0,15
2,15748,0,8
2,1492,0,1
2,2067,0,6
2,2218,0,1
2,2219,0,1
2,2220,0,1
2,2224,0,2
2,2500,0,2
2,3451,0,12
2,3452,0,5
2,3453,0,4
2,3454,0,4
2,3455,0,4
2,3466,0,8
2,17629,0,6
2,1034,0,1
2,1035,0,3
2,1036,0,1
2,1503,0,1
2,1504,0,1
2,1505,0,1
2,1507,0,3
2,1508,0,2
2,1509,0,2
2,1510,0,12
2,1511,0,1
2,1542,0,1
2,1996,0,1
2,2216,0,5
2,2543,0,2
2,2544,0,1
2,2545,0,1
2,214,0,1
2,215,0,4
2,216,0,4
2,217,0,1
2,218,0,1
2,4306,0,10
2,4307,0,2
2,4310,0,10
2,4311,0,2
2,4312,0,2
2,7846,0,8
2,7847,0,12
2,7848,0,11
2,7849,0,11
2,7850,0,12
2,7851,0,11
2,7852,0,11
2,7853,0,12
2,7854,0,12
2,7855,0,12
2,7856,0,12
2,7857,0,12
2,7858,0,12
2,7859,0,12
2,7860,0,12
2,7861,0,12
2,7862,0,12
2,7863,0,12
2,7864,0,12
2,7865,0,12
2,7866,0,11
2,7867,0,11
2,7868,0,11
2,7869,0,12
2,7870,0,12
2,7871,0,12
2,7872,0,11
2,7873,0,7
2,7874,0,7
2,7875,0,7
2,7876,0,7
2,7877,0,7
2,7878,0,7
2,7880,0,8
2,7881,0,12
2,7882,0,7
2,7883,0,7
2,7885,0,8
2,7886,0,7
2,7887,0,7
2,7888,0,7
2,7890,0,7
2,7891,0,11
2,7892,0,8
2,7898,0,7
2,7900,0,7
2,7904,0,7
2,7905,0,12
2,7906,0,12
2,7911,0,7
2,7913,0,7
2,7914,0,12
2,7915,0,12
2,7917,0,5
2,7919,0,5
2,7920,0,12
2,7922,0,5
2,7923,0,12
2,7926,0,5
2,7928,0,5
2,7931,0,5
2,7932,0,4
2,7933,0,4
2,7936,0,5
2,1687,0,3
2,3496,0,4
2,1141,0,3
2,1665,0,1
2,2083,0,4
2,2087,0,1
2,2089,0,10
2,2090,0,10
2,2091,0,10
2,2092,0,10
2,2101,0,4
2,7982,0,7
2,7983,0,3
2,1490,0,14
2,1491,0,14
2,1492,0,11
2,2065,0,6
2,2099,0,3
2,2586,0,1
2,2587,0,1
2,5284,0,2
2,15770,0,8
2,17623,0,15
2,17686,0,12
2,17688,0,3
2,17697,0,3
2,17698,0,14
