Type,Frame,Fish1,Fish2
2,10,12,3
2,20,10,9
2,31,10,9
2,52,10,10
2,81,7,8
2,102,7,9
2,103,7,9
2,103,9,10
2,118,9,10
2,120,9,10
2,127,7,8
2,129,12,12
2,130,12,4
2,131,12,4
2,133,12,4
2,137,9,7
2,138,10,12
2,138,12,4
2,142,12,10
2,145,9,10
2,146,10,12
2,147,10,12
2,148,10,12
2,148,12,10
2,149,12,10
2,151,9,10
2,152,9,10
2,152,12,3
2,153,10,3
2,153,12,3
2,154,8,2
2,155,8,5
2,156,10,10
2,157,7,8
2,157,10,3
2,159,7,2
2,159,10,3
2,160,10,12
2,162,9,10
2,163,9,10
2,164,8,7
2,165,4,7
2,165,8,2
2,166,8,2
2,167,9,10
2,168,7,4
2,169,7,4
2,170,8,8
2,172,12,3
2,173,7,3
2,174,7,3
2,175,7,3
2,175,10,3
2,176,7,3
2,176,10,3
2,176,12,10
2,178,12,10
2,179,7,3
2,182,8,2
2,182,12,10
2,183,8,2
2,184,7,3
2,185,9,10
2,187,8,2
2,188,9,10
2,189,7,4
2,189,8,2
2,189,12,10
2,193,7,3
2,194,9,10
2,197,8,2
2,197,10,3
2,200,10,12
2,201,7,3
2,202,7,3
2,202,8,2
2,204,7,3
2,204,10,12
2,207,7,3
2,211,12,10
2,212,10,12
2,213,7,3
2,215,10,12
2,217,7,3
2,218,7,3
2,218,10,12
2,222,6,7
2,226,7,3
2,226,10,12
2,227,8,13
2,228,7,3
2,229,10,12
2,229,11,13
2,231,10,12
2,232,7,3
2,234,8,13
2,240,8,4
2,243,7,6
2,248,6,4
2,249,8,3
2,250,8,6
2,251,7,3
2,251,8,6
2,252,7,3
2,252,8,6
2,254,3,8
2,256,6,7
2,257,6,7
2,274,7,3
2,274,8,4
2,274,9,3
2,281,7,9
2,286,6,4
2,290,7,3
2,294,7,9
2,298,9,13
2,306,9,13
2,308,7,9
2,308,9,13
2,309,7,9
2,310,9,13
2,313,9,13
2,314,6,4
2,315,6,4
2,317,6,4
2,317,9,13
2,318,8,3
2,319,6,4
2,320,8,14
2,323,9,13
2,324,6,4
2,324,9,13
2,325,6,4
2,331,8,13
2,335,9,5
2,338,7,13
2,342,7,13
2,351,7,13
2,353,9,11
2,354,9,11
2,357,7,13
2,359,6,4
2,359,9,11
2,360,6,4
2,361,6,4
2,362,6,4
2,363,6,4
2,364,10,12
2,365,6,4
2,366,12,10
2,369,12,10
2,370,9,11
2,371,8,13
2,377,6,4
2,378,6,4
2,382,10,12
2,387,9,11
2,389,11,9
2,398,9,11
2,404,6,8
2,404,12,10
2,405,6,8
2,406,6,8
2,407,10,9
2,410,7,13
2,412,6,6
2,414,13,6
2,416,6,13
2,417,14,8
2,419,9,2
2,423,6,13
2,426,6,13
2,427,6,13
2,428,13,7
2,431,6,13
2,432,13,11
2,435,6,8
2,436,6,8
2,437,6,8
2,438,6,8
2,438,9,7
2,439,9,7
2,440,7,9
2,441,7,9
2,441,13,11
2,442,9,7
2,442,13,11
2,443,7,9
2,444,7,9
2,444,13,11
2,448,9,7
2,450,6,3
2,450,9,7
2,451,7,9
2,452,7,9
2,462,9,10
2,466,7,9
2,467,6,3
2,468,6,3
2,469,14,6
2,471,6,8
2,471,7,9
2,474,6,8
2,475,6,8
2,475,14,6
2,476,9,10
2,477,14,6
2,484,12,9
2,487,6,3
2,488,6,3
2,489,6,3
2,492,6,3
2,495,9,8
2,499,7,4
2,502,6,3
2,505,9,12
2,506,6,3
2,507,6,3
2,509,14,3
2,510,6,3
2,510,14,6
2,512,9,12
2,517,6,3
2,521,9,12
2,522,6,3
2,526,7,4
2,526,12,9
2,527,10,10
2,529,7,8
2,531,7,8
2,533,7,8
2,535,7,8
2,538,10,2
2,545,9,8
2,548,9,8
2,557,6,3
2,558,6,3
2,559,14,11
2,569,9,12
2,570,9,12
2,570,12,9
2,572,7,8
2,579,9,12
2,580,9,12
2,582,7,2
