Type,Frame,Fish1,Fish2
-1,0,-1,-1
1,1819,12,-1
1,1828,12,-1
1,5593,5,-1
1,6360,0,-1
1,12450,3,-1
1,12529,14,-1
1,12686,10,-1
1,12690,10,-1
1,12699,10,-1
1,12704,10,-1
1,12892,3,-1
1,12894,4,-1
1,13372,3,-1
1,13460,12,-1
1,13555,12,-1
1,13905,12,-1
1,14148,10,-1
1,14283,2,-1
1,14520,14,-1
1,14586,14,-1
1,14829,14,-1
1,14862,14,-1
1,15275,13,-1
1,15755,12,-1
1,16646,6,-1
1,16729,13,-1
1,17030,7,-1
1,17147,14,-1
1,17149,4,-1
1,17417,7,-1
1,17430,4,-1
1,17502,7,-1
1,17503,7,-1
1,17634,7,-1
-1,18073,-1,-1
