Type,Frame,Fish1,Fish2
-1,0,-1,-1
0,1,-1,-1
-1,13,-1,-1
0,15,-1,-1
-1,165,-1,-1
0,167,-1,-1
-1,196,-1,-1
0,198,-1,-1
-1,222,-1,-1
0,792,-1,-1
-1,792,-1,-1
0,796,-1,-1
-1,800,-1,-1
0,809,-1,-1
-1,811,-1,-1
0,816,-1,-1
-1,816,-1,-1
0,834,-1,-1
-1,834,-1,-1
0,841,-1,-1
-1,842,-1,-1
0,849,-1,-1
-1,851,-1,-1
0,853,-1,-1
-1,853,-1,-1
0,859,-1,-1
-1,879,-1,-1
0,881,-1,-1
-1,1101,-1,-1
0,1103,-1,-1
-1,1108,-1,-1
0,1110,-1,-1
-1,1126,-1,-1
0,1130,-1,-1
-1,1130,-1,-1
0,1155,-1,-1
-1,1155,-1,-1
0,1158,-1,-1
-1,1159,-1,-1
0,1161,-1,-1
-1,1162,-1,-1
0,1164,-1,-1
-1,1166,-1,-1
0,1172,-1,-1
-1,1173,-1,-1
0,1177,-1,-1
-1,1179,-1,-1
0,1181,-1,-1
-1,1181,-1,-1
0,1187,-1,-1
-1,1194,-1,-1
0,1196,-1,-1
-1,1198,-1,-1
0,1201,-1,-1
-1,1203,-1,-1
0,1206,-1,-1
-1,1239,-1,-1
0,1241,-1,-1
-1,1253,-1,-1
0,1255,-1,-1
-1,1255,-1,-1
0,1257,-1,-1
-1,1257,-1,-1
0,1262,-1,-1
-1,1265,-1,-1
0,1267,-1,-1
-1,1267,-1,-1
0,1277,-1,-1
-1,1277,-1,-1
0,1282,-1,-1
-1,1282,-1,-1
0,1285,-1,-1
-1,1287,-1,-1
0,1289,-1,-1
-1,1302,-1,-1
0,1307,-1,-1
-1,1309,-1,-1
0,1312,-1,-1
-1,1312,-1,-1
0,1322,-1,-1
-1,1651,-1,-1
0,1653,-1,-1
-1,2012,-1,-1
0,2017,-1,-1
-1,2255,-1,-1
0,2630,-1,-1
-1,2630,-1,-1
0,2790,-1,-1
-1,2790,-1,-1
0,2792,-1,-1
-1,2952,-1,-1
0,2954,-1,-1
-1,2955,-1,-1
0,2957,-1,-1
-1,2957,-1,-1
0,3409,-1,-1
-1,3409,-1,-1
0,3415,-1,-1
-1,3415,-1,-1
0,3426,-1,-1
-1,3426,-1,-1
0,3429,-1,-1
-1,3431,-1,-1
0,3433,-1,-1
-1,3436,-1,-1
0,3438,-1,-1
-1,3513,-1,-1
0,3516,-1,-1
-1,3516,-1,-1
0,3527,-1,-1
-1,3527,-1,-1
0,3533,-1,-1
-1,3538,-1,-1
0,3583,-1,-1
-1,3583,-1,-1
0,3615,-1,-1
-1,3617,-1,-1
0,3620,-1,-1
-1,3621,-1,-1
0,3623,-1,-1
-1,3623,-1,-1
0,3630,-1,-1
-1,3630,-1,-1
0,3637,-1,-1
-1,3653,-1,-1
0,3656,-1,-1
-1,3656,-1,-1
0,3665,-1,-1
-1,3672,-1,-1
0,4196,-1,-1
-1,4209,-1,-1
0,4214,-1,-1
-1,4216,-1,-1
0,4218,-1,-1
-1,4225,-1,-1
0,4228,-1,-1
-1,4237,-1,-1
0,4239,-1,-1
-1,4256,-1,-1
0,4258,-1,-1
-1,4258,-1,-1
0,4260,-1,-1
-1,4260,-1,-1
0,4327,-1,-1
-1,4328,-1,-1
0,4332,-1,-1
-1,4335,-1,-1
0,4338,-1,-1
-1,4346,-1,-1
