Type,Frame,Fish1,Fish2
2,215,12,8
2,217,12,8
2,1034,11,12
2,1038,7,12
2,1486,4,6
2,1490,15,11
2,1502,6,13
2,1504,11,10
2,1507,11,10
2,1545,5,8
2,1639,6,14
2,1657,5,6
2,1659,6,5
2,1661,4,13
2,1662,6,12
2,1663,6,10
2,1664,6,10
2,1706,3,12
2,1708,3,4
2,2031,3,12
2,2065,15,12
2,2078,4,8
2,2082,4,6
2,2083,14,5
2,2101,14,7
2,2199,8,7
2,2205,8,7
2,2218,10,8
2,2220,10,15
2,2500,10,13
2,2541,3,4
2,2547,3,4
2,2550,3,4
2,2583,3,2
2,2587,15,2
2,2620,3,7
2,2622,3,4
2,2641,6,14
2,2646,6,14
2,2888,4,13
2,2920,7,4
2,3037,7,15
2,3438,4,5
2,3439,4,5
2,3440,4,5
2,3441,4,5
2,3453,10,1
2,3455,10,8
2,3464,8,4
2,3466,10,4
2,3533,1,12
2,4306,12,10
2,4311,12,10
2,5005,0,12
2,6976,7,9
2,7848,12,15
2,7851,12,15
2,7866,12,15
2,7868,12,15
2,7872,12,15
2,7880,12,15
2,7891,12,4
2,7898,12,15
2,7904,12,15
2,7906,12,15
2,7919,12,4
2,7932,12,4
2,7936,12,0
2,7983,14,13
2,9378,6,5
2,9943,4,10
2,11552,4,11
2,14597,4,14
2,15748,8,0
2,15843,7,5
2,15870,5,8
2,15872,7,4
2,17623,15,12
2,17653,2,2
2,17657,7,15
2,17686,15,3
2,17728,6,0
